iter	RMSE
0	15.46426105
1	14.72889276
2	13.95302776
3	13.30385878
4	12.62999443
5	12.13325694
6	11.64444032
7	11.22767243
8	10.80524794
9	10.35432667
10	9.901517106
11	9.583608701
12	9.210874096
13	8.841457439
14	8.485143065
15	8.207451278
16	7.983091984
17	7.763209888
18	7.547541853
19	7.31853277
20	7.110456067
21	6.893577479
22	6.725536588
23	6.558203229
24	6.458004701
25	6.298761404
26	6.202581738
27	6.075087685
28	5.92469598
29	5.777480702
30	5.701845093
31	5.61540345
32	5.508391974
33	5.418851528
34	5.305948625
35	5.254968553
36	5.184489921
37	5.094455426
38	5.023366773
39	4.95246054
40	4.905867266
41	4.840624948
42	4.761948389
43	4.703599371
44	4.661614218
45	4.624363657
46	4.565839856
47	4.50223482
48	4.450826676
49	4.422483173
50	4.364988792
51	4.30608613
52	4.270013795
53	4.213273971
54	4.166498463
55	4.138107774
56	4.097991967
57	4.049642629
58	4.022696603
59	4.005175141
60	3.986214254
61	3.955632246
62	3.922329995
63	3.886126608
64	3.86926507
65	3.855622801
66	3.847631365
67	3.802513137
68	3.758255193
69	3.721914784
70	3.684668521
71	3.619451593
72	3.608727438
73	3.571574242
74	3.565555566
75	3.559871233
76	3.520623621
77	3.483199555
78	3.47716265
79	3.47370942
80	3.427183721
81	3.420326813
82	3.393642849
83	3.348043277
84	3.310607374
85	3.27031338
86	3.266009084
87	3.259460849
88	3.217884476
89	3.213297084
90	3.174883923
91	3.17018423
92	3.164838783
93	3.160487055
94	3.147780746
95	3.116733524
96	3.109226429
97	3.104152762
98	3.075718868
99	3.054227718
