iter	Passed	Remaining
0	1	157
1	2	138
2	3	127
3	5	120
4	6	117
5	7	112
6	8	109
7	9	110
8	10	104
9	11	102
10	12	97
11	13	99
12	14	99
13	16	98
14	17	97
15	18	97
16	19	96
17	20	95
18	21	93
19	23	92
20	24	91
21	25	90
22	26	89
23	28	88
24	28	86
25	29	85
26	30	83
27	31	82
28	33	80
29	34	79
30	35	78
31	36	77
32	37	76
33	38	74
34	39	73
35	40	72
36	41	71
37	42	69
38	43	68
39	44	67
40	46	66
41	47	65
42	48	63
43	49	62
44	50	61
45	51	60
46	52	59
47	53	58
48	55	57
49	56	56
50	58	55
51	59	55
52	60	53
53	61	52
54	63	51
55	65	51
56	66	50
57	67	48
58	69	48
59	70	47
60	72	46
61	75	45
62	76	44
63	77	43
64	79	42
65	80	41
66	81	40
67	82	39
68	84	37
69	85	36
70	86	35
71	87	34
72	88	32
73	89	31
74	90	30
75	92	29
76	93	27
77	94	26
78	95	25
79	96	24
80	97	22
81	98	21
82	99	20
83	100	19
84	102	18
85	103	16
86	104	15
87	105	14
88	106	13
89	107	11
90	109	10
91	110	9
92	111	8
93	113	7
94	114	6
95	115	4
96	117	3
97	118	2
98	119	1
99	120	0
